Rgt,Lu,Ld,Shim_thickness,HF/Hg,H,V,Flow rate per unit width,mean_height,Avg./Pre.,max height,Hedge,Rstep,start_x,file name,Bstep_modified,SR_x,SR_multiple_Ld_x,SS_x,capillary_length,viscosity_label,PowerLawIndex,ZeroShearViscosity,Viscosity,Ca,rho,sigma,c_star,delP_channel,P_drop_channel,P_drop_channel_dimensionless,K_Weinstein,(2n+1)/3,mu0(U^n)/sigma,P_jump,sigma/Hg,P_jump_dimensionless,P_drop_total,kedge,logkedge,muV/Hg,Re,Bstep_modified
0.752901809,4,2,0.29,0.805555556,0.36,1,425,0.471402632,1.109182663,0.47815,1.014313387,0.056523097,0.7,ev22_V_1_q_425,6.424170616,46.3,0.093,5.56,2.11,low_surf,0.7,1.5,0.474697519,0.138800444,1.3,0.057,0.1,-202.9799117,202.9799117,9.235904343,1.619111214,0.8,1.497995567,55.391733,158.3333333,0.349842524,147.5881787,0.490772312,-0.309119947,21.9772644,0.021823725,2.757142857
1.242376712,4,2,0.29,0.805555556,0.36,1,250,0.266946592,1.067786366,0.289767183,1.085487481,0.083160932,2.055,ev15_V_1_q_250,4.388625592,46.3,0.093,5.56,2.11,low_surf,0.7,1.5,0.474697519,0.138800444,1.3,0.057,0.1,-202.9799117,202.9799117,9.235904343,1.619111214,0.8,1.497995567,87.30096626,158.3333333,0.551374524,115.6789454,1.721947319,0.236019861,21.9772644,0.013225555,4.507142857
0.871137627,4,2,0.29,0.805555556,0.36,1,375,0.411005477,1.096014606,0.413252727,1.005467689,0.045389893,1.055,ev20_V_1_q_375,5.556872038,46.3,0.093,5.56,2.11,low_surf,0.7,1.5,0.474697519,0.138800444,1.3,0.057,0.1,-202.9799117,202.9799117,9.235904343,1.619111214,0.8,1.497995567,61.81309193,158.3333333,0.390398475,141.1668197,0.729483673,-0.136984424,21.9772644,0.018861683,3.776190476
1.294195295,4,2,0.29,0.805555556,0.36,1.5,375,0.267164128,1.068656513,0.278165128,1.041176935,0.111086956,2.08,28_V_1.5_q_375,5.075829384,69.4,0.139,5.56,2.11,low_surf,0.7,1.5,0.420420048,0.184394758,1.3,0.057,0.1,-270.693516,270.693516,9.273428722,1.619111214,0.8,1.989639569,105.4173173,158.3333333,0.665793583,165.2761987,3.152634666,0.498673647,29.19022986,0.021507307,3.047619048
1.054478739,4,2,0.29,0.805555556,0.36,1,300,0.323129945,1.077099818,0.341400909,1.056543703,0.084699855,1.615,ev17_V_1_q_300,4.476303318,46.3,0.093,5.56,2.11,low_surf,0.7,1.5,0.474697519,0.138800444,1.3,0.057,0.1,-202.9799117,202.9799117,9.235904343,1.619111214,0.8,1.497995567,74.93018241,158.3333333,0.473243257,128.0497293,1.282132553,0.107932927,21.9772644,0.015582222,4.7
1.268401668,4,2,0.29,0.805555556,0.36,2,500,0.258382706,1.033530824,0.283821765,1.098454959,0.115349422,2.225,ev38_V_2_q_500,5.746445498,92.6,0.185,5.56,2.11,low_surf,0.7,1.5,0.385574197,0.225481987,1.3,0.057,0.1,-332.0353752,332.0353752,9.300145125,1.619111214,0.8,2.433500978,123.8307394,158.3333333,0.78208888,208.2046358,0.020905417,-1.679741161,35.70217139,0.031896968,3.85
1.676162984,4,2,0.29,0.805555556,0.36,0.5,100,0.211275732,1.056378661,0.21477625,1.016568481,0.052166847,2.11,v1_V_0.5_q_100,5.056872038,23.1,0.046,5.56,2.11,low_surf,0.7,1.5,0.584800405,0.085497135,1.3,0.057,0.828099713,-58.22234067,58.22234067,4.303650796,1.619111214,0.8,0.922124437,76.17249808,158.3333333,0.481089462,-17.9501574,0.698530464,-0.155814649,13.52859315,0.003981182,4.14047619
1.619958647,4,2,0.29,0.805555556,0.36,1.5,250,0.178905105,1.073430632,0.222227895,1.242155133,0.125989511,3.11,23_V_1.5_q_250,5.319905213,69.4,0.139,5.56,2.11,low_surf,0.7,1.5,0.420420048,0.184394758,1.3,0.057,59457587.98,-0.00000286,0.00000286,9.80E-08,1.619111214,0.8,1.989639569,145.2901893,158.3333333,0.917622248,-145.2901864,0.058197707,-1.235094123,29.19022986,0.017182325,2.826190476
1.076014645,4,2,0.29,0.805555556,0.36,0.5,150,0.323268048,1.077560159,0.334567937,1.034955168,0.06922228,1.425,v3_V_0.5_q_150,5.867298578,23.1,0.046,5.56,2.11,low_surf,0.7,1.5,0.584800405,0.085497135,1.3,0.057,0.1,-124.0857078,124.0857078,9.172107287,1.619111214,0.8,0.922124437,54.20354186,158.3333333,0.342338159,69.88216592,0.675520171,-0.170361678,13.52859315,0.00620169,6.473809524
1.005689128,4,2,0.29,0.805555556,0.36,1,325,0.346646717,1.066605282,0.3579635,1.032646446,0.086553487,1.43,ev18_V_1_q_325,5.312796209,46.3,0.093,5.56,2.11,low_surf,0.7,1.5,0.474697519,0.138800444,1.3,0.057,0.1,-202.9799117,202.9799117,9.235904343,1.619111214,0.8,1.497995567,70.83516046,158.3333333,0.447379961,132.1447512,1.285343563,0.109019227,21.9772644,0.016338172,4.923809524
1.031671486,4,2,0.29,0.805555556,0.36,0.7,225,0.345136724,1.073758696,0.348948289,1.01104364,0.064692919,1.18,v8_V_0.7_q_225,3.992890995,32.4,0.065,5.56,2.11,low_surf,0.7,1.5,0.528357353,0.108143318,1.3,0.057,0.1,-157.5696853,157.5696853,9.203020862,1.619111214,0.8,1.167022303,60.18358247,158.3333333,0.380106837,97.38610281,0.922806547,-0.034889333,17.12151778,0.010017359,3.969047619
1.223680618,4,2,0.29,0.805555556,0.36,1.5,400,0.291230706,1.092115147,0.294194412,1.010176488,0.08478332,1.925,29_V_1.5_q_400,5.097156398,69.4,0.139,5.56,2.11,low_surf,0.7,1.5,0.420420048,0.184394758,1.3,0.057,0.1,-270.693516,270.693516,9.273428722,1.619111214,0.8,1.989639569,98.38859202,158.3333333,0.621401634,172.304924,0.014528073,-1.837791974,29.19022986,0.022746667,3.247619048
0.945771471,4,2,0.29,0.805555556,0.36,0.7,250,0.3796168,1.06292704,0.380641636,1.00269966,0.038539777,0.88,v9_V_0.7_q_250,5.718009479,32.4,0.065,5.56,2.11,low_surf,0.7,1.5,0.528357353,0.108143318,1.3,0.057,0.1,-157.5696853,157.5696853,9.203020862,1.619111214,0.8,1.167022303,55.76922826,158.3333333,0.352226705,101.800457,0.464389478,-0.333117629,17.12151778,0.010927189,
1.350352997,4,2,0.29,0.805555556,0.36,0.5,125,0.26501637,1.060065478,0.266596957,1.005964111,0.061204704,1.81,v2_V_0.5_q_125,5.184834123,23.1,0.046,5.56,2.11,low_surf,0.7,1.5,0.584800405,0.085497135,1.3,0.057,0.1,-124.0857078,124.0857078,9.172107287,1.619111214,0.8,0.922124437,63.54183167,158.3333333,0.401316832,60.54387612,1.007669702,0.003318201,13.52859315,0.004941752,5.035714286
1.517968593,4,2,0.29,0.805555556,0.36,1,200,0.213662585,1.068312925,0.237159057,1.109969987,0.08847312,2.55,ev13_V_1_q_200,5.542654028,46.3,0.093,5.56,2.11,low_surf,0.7,1.5,0.474697519,0.138800444,1.3,0.057,0.730432393,-102.6365308,102.6365308,4.67012313,1.619111214,0.8,1.497995567,104.3219683,158.3333333,0.658875589,-1.685437464,3.403349415,0.53190654,21.9772644,0.010824415,4.25
0.9160561,4,2,0.29,0.805555556,0.36,0.5,175,0.37062129,1.058917972,0.392989032,1.060352016,0.081365816,0.905,v4_V_0.5_q_175,6.390995261,23.1,0.046,5.56,2.11,low_surf,0.7,1.5,0.584800405,0.085497135,1.3,0.057,0.1,-124.0857078,124.0857078,9.172107287,1.619111214,0.8,0.922124437,48.58851208,158.3333333,0.306874813,75.49719571,1.053771207,0.022746328,13.52859315,0.007284607,3.395238095
1.718317074,4,2,0.29,0.805555556,0.36,1,175,0.185582829,1.06047331,0.209507317,1.128915417,0.101968588,2.83,ev12_V_1_q_175,5.398104265,46.3,0.093,5.56,2.11,low_surf,0.7,1.5,0.474697519,0.138800444,1.3,0.057,7.064509283,-16.87844187,16.87844187,0.767995578,1.619111214,0.8,1.497995567,116.7692048,158.3333333,0.737489715,-99.89076291,0.029102443,-1.536070549,21.9772644,0.009562334,3.30952381
1.536245399,4,2,0.29,0.805555556,0.36,0.7,150,0.22775222,1.062843691,0.234337561,1.0289145,0.075041917,2.285,v5_V_0.7_q_150,5.644549763,32.4,0.065,5.56,2.11,low_surf,0.7,1.5,0.528357353,0.108143318,1.3,0.057,0.348230932,-114.1472784,114.1472784,6.66689016,1.619111214,0.8,1.167022303,83.92684141,158.3333333,0.530064262,30.22043699,1.358816558,0.13316083,17.12151778,0.006727196,4.464285714
1.098752714,4,2,0.29,0.805555556,0.36,1.5,450,0.324253485,1.080844949,0.327644242,1.01045712,0.068770622,1.63,31_V_1.5_q_450,5.194312796,69.4,0.139,5.56,2.11,low_surf,0.7,1.5,0.420420048,0.184394758,1.3,0.057,0.1,-270.693516,270.693516,9.273428722,1.619111214,0.8,1.989639569,90.28731835,158.3333333,0.570235695,180.4061976,1.505029028,0.177544876,29.19022986,0.025332957,2.55
1.472275265,4,2,0.29,0.805555556,0.36,1.5,300,0.210773678,1.05386839,0.244519492,1.160104496,0.111226215,2.635,25_V_1.5_q_300,5.485781991,69.4,0.139,5.56,2.11,low_surf,0.7,1.5,0.420420048,0.184394758,1.3,0.057,0.850531051,-124.9424294,124.9424294,4.280282478,1.619111214,0.8,1.989639569,127.4328444,158.3333333,0.804839017,-2.49041495,0.022247257,-1.652723526,29.19022986,0.018905877,2.945238095
